"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"23953",639,"2018-10-04 15:24:34.3950","2018-10-04 15:35:14.2760",54,"Tremont St at West St",42.354979,-71.063348,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2754,"Customer",1969,0
"24134",395,"2018-10-04 15:48:33.5870","2018-10-04 15:55:08.9910",50,"Boylston St at Berkeley St",42.3511419825475,-71.0732924938202,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2129,"Subscriber",1966,1
"24331",765,"2018-10-04 16:07:29.1480","2018-10-04 16:20:14.8550",228,"One Memorial Drive",42.3616193207669,-71.0804355052096,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,4002,"Subscriber",1978,1
"24343",792,"2018-10-04 16:08:23.3520","2018-10-04 16:21:35.9410",3,"Colleges of the Fenway - Fenway at Avenue Louis Pasteur",42.3401151224924,-71.1006188392639,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3074,"Subscriber",1993,2
"24592",514,"2018-10-04 16:26:48.9620","2018-10-04 16:35:23.9050",58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,4016,"Subscriber",1982,1
"24605",883,"2018-10-04 16:28:00.3740","2018-10-04 16:42:43.9340",155,"Huntington Ave at Mass Art (former)",42.3365190930439,-71.0989692435578,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3486,"Subscriber",1989,2
"24702",655,"2018-10-04 16:36:11.8260","2018-10-04 16:47:07.4450",192,"Purchase St at Pearl St",42.354659,-71.053181,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2376,"Subscriber",1986,1
"24812",312,"2018-10-04 16:44:21.5290","2018-10-04 16:49:34.3250",21,"Prudential Center - Belvedere St",42.3465200399841,-71.0806577654512,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2978,"Subscriber",1987,1
"24840",552,"2018-10-04 16:45:51.0570","2018-10-04 16:55:03.7120",33,"Kenmore Square",42.348706,-71.097009,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3986,"Subscriber",1998,1
"25060",838,"2018-10-04 17:00:57.3590","2018-10-04 17:14:56.0760",14,"HMS/HSPH - Avenue Louis Pasteur at Longwood Ave",42.3374174845973,-71.1028611660004,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3414,"Subscriber",1972,2
